Fornitore;Prodotto;Data;Quantita
Bernardi Moira;Detergente intimo;11/11/2020;11
Bernardi Moira;Melanzane;18/10/2020;15
Bernardi Moira;Cereali;24/09/2020;21
Bernardi Moira;Crema mani;17/03/2021;12
Bernardi Moira;Orata;23/10/2020;22
Bernardi Moira;Prodotto per pavimenti;03/12/2020;14
Bernardi Moira;Passata di pomodoro;15/09/2020;11
Bernardi Moira;Sacchetti freezer;07/11/2020;10
Bernardi Moira;Orzo;29/07/2020;13
Bernardi Moira;Crema corpo;13/05/2021;15
Bernardi Moira;Struccante viso;22/06/2021;17
Bernardi Moira;Tofu;30/08/2020;30
Bernardi Moira;Orata;28/01/2021;25
Bernardi Moira;Maionese;07/05/2021;20
Bernardi Moira;Limoni;07/02/2021;16
Bernardi Moira;Parmigiano;29/09/2020;26
Bernardi Moira;Melanzane;09/03/2021;17
Bernardi Moira;Panna;04/08/2020;23
Bernardi Moira;Spazzolino;20/12/2020;25
Bernardi Moira;Olio d'oliva;08/07/2021;28
Bernardi Moira;Detersivo lavastoviglie;20/08/2020;26
Bernardi Moira;Camomilla;09/03/2021;11
Bernardi Moira;Fette biscottate;16/02/2021;10
Bernardi Moira;Filetti di Merluzzo;15/02/2021;24
Bernardi Moira;Peperoncino;08/05/2021;19
Bernardi Moira;Pasta di semola;17/05/2021;11
Bernardi Moira;Rosmarino;03/11/2020;22
Bernardi Moira;Fette biscottate;14/09/2020;11
Bernardi Moira;Camomilla;21/01/2021;18
Bernardi Moira;Shampoo;03/02/2021;11
Bernardi Moira;Fecola di patate;05/05/2021;23
Bernardi Moira;Sesamo;09/12/2020;14
Bernardi Moira;Polipo;24/01/2021;30
Bernardi Moira;Schiuma da barba;06/06/2021;29
Bernardi Moira;Mozzarella;01/11/2020;14
Bernardi Moira;Pomodori;06/05/2021;11
Bernardi Moira;Lenticchie;03/01/2021;17
Bernardi Moira;Antitarme;12/08/2020;15
Bianco Marinella;Panno da cucina;02/05/2021;24
Bianco Marinella;Latte;26/12/2020;17
Bianco Marinella;Crema viso;28/10/2020;11
Bianco Marinella;Rasoio;11/07/2020;26
Bianco Marinella;Uova;11/02/2021;25
Bianco Marinella;Patatine;01/03/2021;12
Bianco Marinella;Sacchetti freezer;27/07/2020;21
Bianco Marinella;Crema viso;12/08/2020;12
Bianco Marinella;Latte;06/06/2021;16
Bianco Marinella;Tofu;02/05/2021;17
Bianco Marinella;Fagioli borlotti;28/10/2020;23
Bianco Marinella;Marmellata;08/09/2020;13
Bianco Marinella;Melanzane;05/02/2021;17
Bianco Marinella;Mozzarella;07/11/2020;27
Bianco Marinella;Crema corpo;12/04/2021;15
Bianco Marinella;Olio d'oliva;12/12/2020;11
Bianco Marinella;Coca Cola;16/03/2021;10
Bianco Marinella;Riso;31/03/2021;23
Bianco Marinella;Sacchetti freezer;19/10/2020;17
Bianco Marinella;Paprika dolce;02/05/2021;20
Bianco Marinella;Contorno occhi;08/12/2020;17
Bianco Marinella;Struccante viso;02/04/2021;27
Bianco Marinella;Patatine;29/11/2020;17
Bianco Marinella;Carote;10/09/2020;28
Bianco Marinella;Schiuma da barba;16/06/2021;30
Bianco Marinella;Maionese;23/05/2021;11
Bianco Marinella;Mortadella;15/02/2021;16
Bianco Marinella;Salsa di soia;06/03/2021;26
Bianco Marinella;Maionese;30/08/2020;29
Bianco Marinella;Crema dopo barba;29/09/2020;20
Bianco Marinella;Vino;20/06/2021;16
Bianco Marinella;Bicchieri di plastica;28/05/2021;17
Bianco Marinella;Salsa di soia;15/03/2021;25
Bianco Marinella;Spugnetta per piatti;01/02/2021;29
Bianco Marinella;Sapone;27/11/2020;19
Bianco Marinella;Pasta fresca;13/09/2020;18
Bianco Marinella;Arrosto;17/04/2021;18
Bianco Marinella;Shampoo;08/01/2021;15
Bianco Marinella;Panno per il bagno;26/05/2021;28
Bianco Marinella;Passata di pomodoro;18/10/2020;23
Bianco Marinella;Maggiorana;20/07/2020;25
Caruso Maura;Prodotto per acciaio;24/06/2021;27
Caruso Maura;Passata di pomodoro;13/09/2020;22
Caruso Maura;Mele;10/07/2020;17
Caruso Maura;Prodotto per parquet;18/07/2020;11
Caruso Maura;Aranciata;27/08/2020;12
Caruso Maura;Filetti di Merluzzo;16/04/2021;22
Caruso Maura;Diffusore per ambienti;02/10/2020;30
Caruso Maura;Carta forno;16/05/2021;30
Caruso Maura;Patate;08/04/2021;20
Caruso Maura;Ammorbidente;19/08/2020;17
Caruso Maura;Fette biscottate;20/11/2020;28
Caruso Maura;Bicchieri di plastica;07/01/2021;30
Caruso Maura;Bicchieri di plastica;16/01/2021;23
Caruso Maura;Passata di pomodoro;19/06/2021;10
Caruso Maura;Ceci;30/01/2021;20
Caruso Maura;Gamberetti;15/03/2021;23
Caruso Maura;Origano;24/06/2021;28
Caruso Maura;Fagioli cannellini;15/02/2021;21
Caruso Maura;Fette biscottate;15/05/2021;20
Caruso Maura;Balsamo;28/05/2021;20
Caruso Maura;Sale grosso;19/03/2021;12
Caruso Maura;Zucchine;30/10/2020;25
Caruso Maura;Tofu;17/01/2021;17
Caruso Maura;Pulizia Forno;25/01/2021;29
Caruso Maura;Detersivo lavastoviglie;16/06/2021;18
Caruso Maura;Ammorbidente;01/02/2021;11
Caruso Maura;Zucchero (bianco o di canna);28/07/2020;15
Caruso Maura;Crema mani;23/07/2020;15
Caruso Maura;Polipo;12/08/2020;24
Caruso Maura;Philadelphia;16/07/2020;20
Caruso Maura;Filo interdentale;19/02/2021;28
Caruso Maura;Nutella;31/10/2020;26
Caruso Maura;Noce moscata;01/02/2021;26
Caruso Maura;Philadelphia;01/10/2020;17
Caruso Maura;Maggiorana;05/07/2021;23
Caruso Maura;Pancetta;13/06/2021;20
Caruso Maura;Pane;03/08/2020;27
Caruso Maura;Zucchero a velo;27/08/2020;14
Caruso Maura;Aceto balsamico;28/09/2020;20
Caruso Maura;Lenticchie;19/05/2021;14
Caruso Maura;Prodotto per pavimenti;17/02/2021;17
Caruso Maura;Seitan;21/05/2021;26
Conte Marisa;Burro;25/04/2021;30
Conte Marisa;Shampoo;29/01/2021;16
Conte Marisa;Crema corpo;05/03/2021;26
Conte Marisa;Pelati;20/06/2021;24
Conte Marisa;Fagioli borlotti;14/11/2020;14
Conte Marisa;Prodotto per parquet;17/12/2020;11
Conte Marisa;Doccia schiuma;08/02/2021;11
Conte Marisa;Mandarini;25/07/2020;28
Conte Marisa;Pasta all'uovo;28/06/2021;28
Conte Marisa;Salsa barbecue;20/02/2021;21
Conte Marisa;Pasta sfoglia;26/08/2020;22
Conte Marisa;Yogurt;24/08/2020;24
Conte Marisa;Pasta sfoglia;02/07/2021;20
Conte Marisa;Sesamo;18/01/2021;21
Conte Marisa;Prosciutto crudo;15/06/2021;26
Conte Marisa;Zucchine;10/03/2021;27
Conte Marisa;Gelato;06/09/2020;16
Conte Marisa;Balsamo;16/11/2020;10
Conte Marisa;Salame;11/07/2020;27
Conte Marisa;Fette biscottate;10/03/2021;23
Conte Marisa;Panno da cucina;21/08/2020;15
Conte Marisa;Origano;06/06/2021;28
Conte Marisa;Orata;18/10/2020;19
Conte Marisa;Gamberi;01/03/2021;22
Conte Marisa;Carote;23/08/2020;11
Conte Marisa;Diffusore per ambienti;16/10/2020;22
Conte Marisa;Mandarini;07/04/2021;20
Conte Marisa;Olio d'oliva;04/11/2020;11
Conte Marisa;Panno per il pavimento;10/06/2021;22
Conte Marisa;Sapone;09/04/2021;26
Conte Marisa;Burro;12/05/2021;29
Conte Marisa;Zucchero (bianco o di canna);09/01/2021;11
Conte Marisa;Bicchieri di plastica;07/06/2021;20
Conte Marisa;Insalata;11/09/2020;25
Conte Marisa;Crema viso;26/10/2020;28
Conte Marisa;Fecola di patate;17/11/2020;16
Conte Marisa;Fagioli bianchi di Spagna;09/01/2021;28
Conte Marisa;Diffusore per ambienti;06/10/2020;25
Conte Marisa;Sacchetti freezer;30/12/2020;24
Conte Marisa;Prodotto per parquet;06/12/2020;13
Conte Marisa;Latte;17/06/2021;12
D'Angelo Miriam;Salvia;09/01/2021;23
D'Angelo Miriam;Pere;08/09/2020;24
D'Angelo Miriam;Minestrone;03/09/2020;24
D'Angelo Miriam;Passata di pomodoro;24/02/2021;14
D'Angelo Miriam;Paprika dolce;04/06/2021;11
D'Angelo Miriam;Sapone mani;30/12/2020;24
D'Angelo Miriam;Spazzolino;01/10/2020;12
D'Angelo Miriam;Panno per il bagno;13/10/2020;23
D'Angelo Miriam;Lievito per dolci;17/04/2021;22
D'Angelo Miriam;Speck;13/01/2021;19
D'Angelo Miriam;Funghi;12/12/2020;26
D'Angelo Miriam;Riso;23/04/2021;20
D'Angelo Miriam;Yogurt;04/05/2021;20
D'Angelo Miriam;Polipo;24/07/2020;10
D'Angelo Miriam;Parmigiano;03/04/2021;18
D'Angelo Miriam;Passata di pomodoro;28/07/2020;30
D'Angelo Miriam;Piatti di plastica;19/10/2020;30
D'Angelo Miriam;Peperoncino;19/08/2020;29
D'Angelo Miriam;Latte;14/04/2021;29
D'Angelo Miriam;Gamberi;24/04/2021;27
D'Angelo Miriam;Camomilla;29/12/2020;13
D'Angelo Miriam;Salsa barbecue;29/12/2020;26
D'Angelo Miriam;Nutella;05/08/2020;15
D'Angelo Miriam;Origano;06/04/2021;23
D'Angelo Miriam;Spugnetta per piatti;13/07/2020;11
D'Angelo Miriam;Fagioli cannellini;19/11/2020;22
D'Angelo Miriam;Patate;16/01/2021;30
D'Angelo Miriam;Panno per il pavimento;03/10/2020;24
D'Angelo Miriam;Burro;30/12/2020;21
D'Angelo Miriam;Caffe (normale / decaffeinato);27/10/2020;17
D'Angelo Miriam;ketchup;05/10/2020;19
D'Angelo Miriam;Lenticchie;01/01/2021;22
D'Angelo Miriam;Doccia schiuma;12/12/2020;25
D'Angelo Miriam;Caffe (normale / decaffeinato);19/01/2021;25
D'Angelo Miriam;Origano;15/11/2020;28
D'Angelo Miriam;Pasta fresca;23/01/2021;24
D'Angelo Miriam;Salsa di soia;01/09/2020;18
D'Angelo Miriam;Filo interdentale;27/08/2020;26
D'Angelo Miriam;Diffusore per ambienti;16/01/2021;13
D'Angelo Miriam;Cipolle;26/09/2020;17
D'Angelo Miriam;Filo interdentale;30/03/2021;20
D'Angelo Miriam;Prosciutto cotto;06/04/2021;14
D'Angelo Miriam;Prodotto per pavimenti;27/06/2021;28
D'Angelo Miriam;Sesamo;03/08/2020;21
Farina Maruta;Fette biscottate;21/03/2021;30
Farina Maruta;Tabasco;01/01/2021;16
Farina Maruta;Igienizzante bagno;15/11/2020;20
Farina Maruta;Peperoncino;03/01/2021;22
Farina Maruta;Diffusore per ambienti;15/09/2020;25
Farina Maruta;Detersivo lavastoviglie;09/09/2020;20
Farina Maruta;Fecola di patate;10/07/2020;14
Farina Maruta;Piatti di plastica;08/07/2021;20
Farina Maruta;Tofu;21/09/2020;19
Farina Maruta;Detersivo lavastoviglie;04/05/2021;25
Farina Maruta;Riso;07/04/2021;23
Farina Maruta;Peperoncino;13/07/2020;10
Farina Maruta;Noce moscata;05/02/2021;13
Farina Maruta;Mozzarella;22/03/2021;19
Farina Maruta;Lenticchie;01/01/2021;30
Farina Maruta;Shampoo;27/09/2020;29
Farina Maruta;Sacchetti freezer;11/12/2020;10
Farina Maruta;Burro;11/09/2020;15
Farina Maruta;Coca Cola;25/03/2021;11
Farina Maruta;Sacchetti freezer;16/05/2021;16
Farina Maruta;Pollo;27/09/2020;27
Farina Maruta;Tabasco;18/03/2021;27
Farina Maruta;Mandarini;21/12/2020;15
Farina Maruta;Latte;14/08/2020;20
Farina Maruta;Filetti di Merluzzo;10/02/2021;30
Farina Maruta;Lenticchie;21/12/2020;13
Farina Maruta;Pasta di semola;19/07/2020;18
Farina Maruta;Doccia schiuma;27/01/2021;21
Farina Maruta;The;22/07/2020;19
Farina Maruta;Sale fine;10/06/2021;28
Farina Maruta;Tabasco;09/01/2021;16
Farina Maruta;Sale grosso;16/07/2020;20
Farina Maruta;Funghi;19/09/2020;27
Farina Maruta;wurstel;08/12/2020;10
Farina Maruta;Crema dopo barba;25/04/2021;28
Farina Maruta;Lievito di birra;15/04/2021;25
Farina Maruta;Parmigiano;16/03/2021;11
Farina Maruta;Pere;06/08/2020;17
Farina Maruta;Insalata;18/11/2020;10
Farina Maruta;Lievito per dolci;11/02/2021;17
Farina Maruta;Riso;11/10/2020;23
Farina Maruta;Nutella;23/06/2021;17
Farina Maruta;Riso;22/11/2020;22
Farina Maruta;Tovaglioli di carta;11/08/2020;11
Farina Maruta;Filo interdentale;13/06/2021;20
Farina Maruta;Dentifricio;24/08/2020;30
Farina Maruta;Crema dopo barba;31/08/2020;15
Farina Maruta;Speck;27/01/2021;16
Farina Maruta;Carote;05/08/2020;17
Farina Maruta;Pasta all'uovo;29/12/2020;30
Farina Maruta;wurstel;21/07/2020;23
Farina Maruta;Rosmarino;27/06/2021;21
Farina Maruta;Marmellata;16/06/2021;10
Farina Maruta;Prodotto per parquet;31/10/2020;13
Ferrara Maria;Fette biscottate;11/06/2021;16
Ferrara Maria;Spugnetta per piatti;17/11/2020;27
Ferrara Maria;Gamberi;21/06/2021;14
Ferrara Maria;Dentifricio;26/03/2021;26
Ferrara Maria;Olio d'oliva;25/08/2020;10
Ferrara Maria;Sapone;24/02/2021;18
Ferrara Maria;Gamberi;13/06/2021;10
Ferrara Maria;Philadelphia;26/01/2021;11
Ferrara Maria;Uova;11/10/2020;27
Ferrara Maria;Dentifricio;18/08/2020;22
Ferrara Maria;Latte;11/11/2020;19
Ferrara Maria;Orzo;23/12/2020;28
Ferrara Maria;Arrosto;16/10/2020;15
Ferrara Maria;The freddo;10/06/2021;11
Ferrara Maria;Pomodori;25/02/2021;21
Ferrara Maria;Passata di pomodoro;24/08/2020;22
Ferrara Maria;Prosciutto cotto;15/11/2020;14
Ferrara Maria;Hamburger;09/03/2021;22
Ferrara Maria;Mele;19/12/2020;27
Ferrara Maria;Prodotto per pavimenti;01/02/2021;16
Ferrara Maria;Arance;17/12/2020;15
Ferrara Maria;Rotolo di carta da cucina;16/12/2020;27
Ferrara Maria;Tovaglioli di carta;12/10/2020;22
Ferrara Maria;Zucchero a velo;05/06/2021;29
Ferrara Maria;Aranciata;07/03/2021;24
Ferrara Maria;Sale fine;23/07/2020;30
Ferrara Maria;Panno per il bagno;10/06/2021;17
Ferrara Maria;Fagioli cannellini;09/03/2021;19
Ferrara Maria;Antitarme;06/07/2021;12
Ferrara Maria;Crema mani;12/02/2021;15
Ferrara Maria;Mele;18/08/2020;14
Ferrara Maria;Colluttorio;10/12/2020;16
Ferrara Maria;Tabasco;01/08/2020;23
Ferrara Maria;Caffe (normale / decaffeinato);09/06/2021;28
Ferrara Maria;wurstel;20/04/2021;14
Ferrara Maria;Minestrone;11/09/2020;11
Ferrara Maria;Doccia schiuma;12/08/2020;14
Ferrara Maria;Cioccolato;06/04/2021;10
Ferrara Maria;Struccante viso;25/03/2021;11
Ferraro Michela;Panna;25/12/2020;10
Ferraro Michela;Arance;30/01/2021;17
Ferraro Michela;Philadelphia;07/04/2021;14
Ferraro Michela;Sapone;12/02/2021;28
Ferraro Michela;Amido di frumento (frumina);15/01/2021;22
Ferraro Michela;Vino;14/09/2020;13
Ferraro Michela;Pane;27/09/2020;15
Ferraro Michela;Carote;05/08/2020;24
Ferraro Michela;Filo interdentale;16/07/2020;30
Ferraro Michela;Gamberetti;25/03/2021;26
Ferraro Michela;Pomodori;24/10/2020;12
